,log_name,fitness_perc_fit_traces,fitness_avg_trace_fitness,fitness_log_fitness,fitness_perc_fitting_traces,precision,generalization,simplicity,metricsAverageWeight,fscore
0,0,100,1,1,100,0.090872386,0.72241576,0.533923304,0.586802863,0.166604981
1,1,100,1,1,100,0.070860989,0.708320913,0.559493671,0.584668893,0.132343955
2,2,100,1,1,100,0.522426589,0.695109424,0.567010309,0.696136581,0.686307758
3,3,100,1,1,100,0.093744334,0.704603476,0.533333333,0.582920286,0.171419098
4,4,100,1,1,100,0.10011919,0.602945232,0.393258427,0.524080712,0.182015168
5,5,100,1,1,100,0.172588832,0.670852259,0.56937799,0.603204771,0.294372294
6,6,100,1,1,100,0.706932773,0.625879848,0.517241379,0.7125135,0.828307692
7,7,100,1,1,100,0.054072838,0.654129565,0.371428571,0.519907744,0.102597916
8,8,39.56834532,0.981762391,0.980420194,39.56834532,0.090492077,0.698608549,0.541984733,0.577876388,0.165690994
9,9,100,1,1,100,0.129566982,0.737509976,0.542168675,0.602311408,0.229410003
,,,,,,,,,,
,,,,,,,,,,
,,,,,,0.203167699,,,,
